"编号","开始答题时间","结束答题时间","答题时长","1.你现在对阿尔丹的了解程度是？","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:B站总结：自动总结 B站视频/链接内容","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:识图理解：看图片并解释、吐槽或回答相关问题","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:联网搜索：临时查资料、查新闻、查不确定的信息","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:长期记忆库：记住群里的梗、偏好、常聊内容","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:赛马娘知识库：查询角色、技能、支援卡、养成资料等","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:点歌功能：在群里搜歌、点歌、分享音乐","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:表情包能力：找表情、发图、接梗、斗图","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:画图功能：通过外部画图 API 生成图片","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:Bot 访问控制：限制某些人（违规）访问阿尔丹","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:被动回应：被 @、被问、有人 cue 它时能接住话","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:目前还没感觉到特别有用的功能","2. 目前已有或正在考虑的功能里，你觉得哪些比较有意义？:其他：","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:B站总结：自动总结 B站视频/链接内容","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:识图理解：看图片并解释、吐槽或回答相关问题","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:联网搜索：临时查资料、查新闻、查不确定的信息","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:长期记忆库：记住群里的梗、偏好、常聊内容","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:赛马娘知识库：查询角色、技能、支援卡、养成资料等","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:点歌功能：在群里搜歌、点歌、分享音乐","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:表情包能力：找表情、发图、接梗、斗图","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:画图功能：通过外部画图 API 生成图片","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:Bot 访问控制：限制某些人（违规）访问阿尔丹","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:被动回应：被 @、被问、有人 cue 它时能接住话","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:都还可以，主要是需要优化","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:我没怎么用过，不好判断","3. 目前这些功能里，你觉得哪些兴趣不大，或者不值得优先投入？:其他：","4. 现在最影响体验的问题是什么？:不清楚它具体能做什么/怎么触发","4. 现在最影响体验的问题是什么？:回复不够准确，信息不够可靠","4. 现在最影响体验的问题是什么？:B站总结抓不住重点","4. 现在最影响体验的问题是什么？:识图、画图、表情包这类图片功能效果一般","4. 现在最影响体验的问题是什么？:联网搜索结果不够有用","4. 现在最影响体验的问题是什么？:赛马娘知识库内容不全或不够新","4. 现在最影响体验的问题是什么？:点歌功能体验一般","4. 现在最影响体验的问题是什么？:Bot 访问控制功能用途不清楚","4. 现在最影响体验的问题是什么？:被动回应接不住话，容易答非所问","4. 现在最影响体验的问题是什么？:主动回应时机不自然","4. 现在最影响体验的问题是什么？:回复速度慢或不稳定","4. 现在最影响体验的问题是什么？:担心隐私/长期记忆边界","4. 现在最影响体验的问题是什么？:其他：","5. 你更希望它在群里的互动方式是？","6. 如果未来拓展新方向，你最希望它往哪边发展？:二游资讯助手：游戏更新、活动、卡池、公告提醒","6. 如果未来拓展新方向，你最希望它往哪边发展？:游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","6. 如果未来拓展新方向，你最希望它往哪边发展？:群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","6. 如果未来拓展新方向，你最希望它往哪边发展？:群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","6. 如果未来拓展新方向，你最希望它往哪边发展？:图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","6. 如果未来拓展新方向，你最希望它往哪边发展？:表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","6. 如果未来拓展新方向，你最希望它往哪边发展？:群内活动助手：投票、报名、打卡、签到、活动提醒、结果统计","6. 如果未来拓展新方向，你最希望它往哪边发展？:私聊功能：私聊查询资料、聊天、保存个人偏好","6. 如果未来拓展新方向，你最希望它往哪边发展？:语音功能：语音识别、语音回复、角色语音","6. 如果未来拓展新方向，你最希望它往哪边发展？:音乐功能：点歌、歌单、音乐推荐","6. 如果未来拓展新方向，你最希望它往哪边发展？:生活化助手：天气、日程提醒、每日新闻、简单备忘","6. 如果未来拓展新方向，你最希望它往哪边发展？:其他：","7. 后续如果支持更多人设方向，你更希望有哪些？:赛马娘","7. 后续如果支持更多人设方向，你更希望有哪些？:原神","7. 后续如果支持更多人设方向，你更希望有哪些？:崩坏：星穹铁道","7. 后续如果支持更多人设方向，你更希望有哪些？:绝区零","7. 后续如果支持更多人设方向，你更希望有哪些？:鸣潮","7. 后续如果支持更多人设方向，你更希望有哪些？:明日方舟","7. 后续如果支持更多人设方向，你更希望有哪些？:明日方舟：终末地","7. 后续如果支持更多人设方向，你更希望有哪些？:碧蓝档案","7. 后续如果支持更多人设方向，你更希望有哪些？:王者荣耀","7. 后续如果支持更多人设方向，你更希望有哪些？:其他：","7. 后续如果支持更多人设方向，你更希望有哪些？:不太需要更多人设","8. 你觉得它还可以做哪些真正有意思的功能？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"24","19-May-2026 00:18:12","19-May-2026 00:21:41","209","A.经常看到/用过几次","","B.识图理解：看图片并解释、吐槽或回答相关问题","","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","A.B站总结：自动总结 B站视频/链接内容","","","","","","","","","","","","","","","","","","","","","H.Bot 访问控制功能用途不清楚","","","","","","A.只在被 @ 或明确叫它时回复","","","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","","","","","","","A.赛马娘","","","","","","","","","","K.不太需要更多人设","。。","简体中文","未清洗","","中国","浙江省","金华市","","240e:471:6ad0:2b73:4476:8cff:fe22:7ec4","Mozilla/5.0 (Linux; Android 12; LGE-AN00 Build/HONORLGE-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 V1_AND_SQ_9.1.35_8708_YYB_D QQ/9.1.35.22670 NetType/4G WebP/0.4.1 AppId/537265587 Pixel/1122 Sta","",
"23","19-May-2026 00:16:16","19-May-2026 00:18:46","150","A.经常看到/用过几次","","","","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","C.联网搜索：临时查资料、查新闻、查不确定的信息","","","","G.表情包能力：找表情、发图、接梗、斗图","","","","","","","","A.不清楚它具体能做什么/怎么触发","","","","","F.赛马娘知识库内容不全或不够新","","","","","K.回复速度慢或不稳定","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","","","","","","","","A.赛马娘","","","","","","","","","","K.不太需要更多人设","也许现在还没想到","简体中文","未清洗","","中国","江苏省","苏州市","","240e:3a5:5018:8b10:1a32:afdb:ed8d:82d6","Mozilla/5.0 (Linux; Android 15; 23049RAD8C Build/AQ3A.250226.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047921 Mobile Safari/537.36 V1_AND_SQ_9.2.50_12670_YYB_D QQ/9.2.50.32575 NetType/WIFI WebP/0.3","",
"22","19-May-2026 00:07:04","19-May-2026 00:08:12","68","A.经常看到/用过几次","A.B站总结：自动总结 B站视频/链接内容","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","F.点歌功能：在群里搜歌、点歌、分享音乐","G.表情包能力：找表情、发图、接梗、斗图","H.画图功能：通过外部画图 API 生成图片","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","","","","","I.Bot 访问控制：限制某些人（违规）访问阿尔丹","","","L.都还可以，主要是需要优化","","","","","","","","F.赛马娘知识库内容不全或不够新","G.点歌功能体验一般","H.Bot 访问控制功能用途不清楚","","J.主动回应时机不自然","K.回复速度慢或不稳定","","","D.可以更主动地活跃气氛","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","G.群内活动助手：投票、报名、打卡、签到、活动提醒、结果统计","H.私聊功能：私聊查询资料、聊天、保存个人偏好","I.语音功能：语音识别、语音回复、角色语音","J.音乐功能：点歌、歌单、音乐推荐","K.生活化助手：天气、日程提醒、每日新闻、简单备忘","","A.赛马娘","","","","E.鸣潮","","","","","J.其他：","","可以做别的马娘","简体中文","未清洗","","中国","上海市","上海市","","2408:820c:c339:56a0:c319:2356:a15:99b9","Mozilla/5.0 (Linux; Android 16; V2463A Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI We","",
"21","18-May-2026 11:25:13","18-May-2026 11:26:28","75","A.经常看到/用过几次","A.B站总结：自动总结 B站视频/链接内容","B.识图理解：看图片并解释、吐槽或回答相关问题","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","B.回复不够准确，信息不够可靠","","D.识图、画图、表情包这类图片功能效果一般","","F.赛马娘知识库内容不全或不够新","","","","","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","","","","","G.群内活动助手：投票、报名、打卡、签到、活动提醒、结果统计","","","","","","A.赛马娘","","","","","","","","","","","加点r18就更好了","简体中文","未清洗","","中国","上海市","上海市","","180.164.118.46","Mozilla/5.0 (Linux; Android 14; 23049RAD8C Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047921 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI WebP/0.3","",
"20","18-May-2026 11:18:26","18-May-2026 11:20:02","96","B.见过它回复，但没主动用过","","B.识图理解：看图片并解释、吐槽或回答相关问题","C.联网搜索：临时查资料、查新闻、查不确定的信息","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","","","","","","","","","F.点歌功能：在群里搜歌、点歌、分享音乐","","","","","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","","","F.赛马娘知识库内容不全或不够新","","","","","","","","A.只在被 @ 或明确叫它时回复","","B.游戏资料查询助手：查角色、配队、养成、材料、攻略、数据库","","","","","","","","","","","A.赛马娘","","","","E.鸣潮","","","H.碧蓝档案","","","","soul","简体中文","未清洗","","中国","福建省","厦门市","","240e:465:2156:ead7:c442:89ff:fe16:a394","Mozilla/5.0 (Linux; Android 14; PHK110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.66_13188_YYB_D QQ/9.2.66.33870 NetType/4G WebP/0.3.0 App","",
"19","18-May-2026 11:17:42","18-May-2026 11:18:37","55","C.知道有，但不太清楚能干什么","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","","","","","A.B站总结：自动总结 B站视频/链接内容","","","","","","","","","","","","","","A.不清楚它具体能做什么/怎么触发","","","","","","","","","","","","","D.可以更主动地活跃气氛","A.二游资讯助手：游戏更新、活动、卡池、公告提醒","","","","","","","","","","","","A.赛马娘","","","","","","","","","","","没想到","简体中文","未清洗","","中国","河南省","安阳市","","2409:8949:3041:818b:f8b1:55ff:fed0:aaa6","Mozilla/5.0 (Linux; Android 16; 24129PN74C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.66_13188_YYB_D QQ/9.2.66.33870 NetType/4G WebP/0.","",
"18","18-May-2026 11:10:14","18-May-2026 11:13:52","218","A.经常看到/用过几次","","","C.联网搜索：临时查资料、查新闻、查不确定的信息","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","H.画图功能：通过外部画图 API 生成图片","","","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","A.B站总结：自动总结 B站视频/链接内容","","","","","F.点歌功能：在群里搜歌、点歌、分享音乐","","","","","","","","","","","","D.识图、画图、表情包这类图片功能效果一般","","","","","I.被动回应接不住话，容易答非所问","","","L.担心隐私/长期记忆边界","","E.不同群/不同时间能设置不同活跃程度","","","","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","","","","I.语音功能：语音识别、语音回复、角色语音","","","","A.赛马娘","","","","","","","","","J.其他：","","屏蔽上官。","简体中文","未清洗","","中国","广东省","深圳市","","115.45.95.30","Mozilla/5.0 (Linux; Android 11; V1922A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.1.35_8708_YYB_D QQ/9.1.35.22670 NetType/WIFI WebP/0.3.0 Ap","",
"17","18-May-2026 11:07:26","18-May-2026 11:10:43","197","A.经常看到/用过几次","A.B站总结：自动总结 B站视频/链接内容","","","D.长期记忆库：记住群里的梗、偏好、常聊内容","","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","H.画图功能：通过外部画图 API 生成图片","","","","","","","","B.回复不够准确，信息不够可靠","","","","","","","I.被动回应接不住话，容易答非所问","J.主动回应时机不自然","","","","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","","","","","","","","","","","","","","","","","","K.不太需要更多人设","	1","简体中文","未清洗","","中国","黑龙江省","大庆市","","221.208.221.85","Mozilla/5.0 (Linux; Android 16; 2211133C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.120 Mobile Safari/537.36 V1_AND_SQ_9.2.80_13690_YYB_D QQ/9.2.80.35125 NetType/WIFI WebP/0.4.1 AppId/537348298 Pixel","",
"16","18-May-2026 11:01:32","18-May-2026 11:03:33","121","A.经常看到/用过几次","","","","","","","","","","","","L.目前还没感觉到特别有用的功能","","","","","","","","","","","","","L.都还可以，主要是需要优化","","","","","","D.识图、画图、表情包这类图片功能效果一般","","","","","","J.主动回应时机不自然","","","","A.只在被 @ 或明确叫它时回复","","","","","E.图片创作助手：画图、改图、生成梗图、把聊天内容做成图卡","","","","","","","","","","","","","","","","","","K.不太需要更多人设","接入p站","简体中文","未清洗","","中国","广东省","佛山市","","2409:895a:5189:5045:4c31:e3b3:5488:3ab5","Mozilla/5.0 (Phone; OpenHarmony 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36  ArkWeb/6.1.0.117 Mobile V1_HAR_SQ_9.2.20_2860_APP_D QQ/9.2.20.5645 NetType/3G AppId/537349553 Pixel/1260 StatusBarHeight/39 SimpleUISwitch/0 QQThem","",
"15","18-May-2026 10:49:04","18-May-2026 10:52:44","220","A.经常看到/用过几次","","","","D.长期记忆库：记住群里的梗、偏好、常聊内容","E.赛马娘知识库：查询角色、技能、支援卡、养成资料等","","","","","J.被动回应：被 @、被问、有人 cue 它时能接住话","K.主动回应：看到合适话题时自己接话、补充、安慰或活跃气氛","","","","","","","","","","","","","","L.都还可以，主要是需要优化","","","","","","","","","","","","","","","M.其他：","C.可以自然参与群聊，接梗、补充信息、缓和情绪","","","C.群聊档案馆：记录群里的名场面、梗、高光发言，后续可查询或回顾","D.群内日报/周报：整理最近群里聊了什么、有哪些好玩的事","","F.表情包/接梗助手：根据聊天语境找图、配图、斗图、补梗","","","","","","","","","","","","","","","","","K.不太需要更多人设","回复的语句应该更贴切阿尔丹的人物设定。","简体中文","未清洗","","中国","广东省","深圳市","","113.87.237.62","Mozilla/5.0 (Linux; Android 16; 23127PN0CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047925 Mobile Safari/537.36 V1_AND_SQ_9.2.85_13860_YYB_D QQ/9.2.85.35550 NetType/WIFI WebP/","",
